Name,Position,Service,Off_Svc,Year,Nom_Rcvd,Nom_Conf,Nom_Lag,Congress,POTUS,P_Party,S_Party,Vote_Type,Vote_Simple,DYes,Dno,Dnv,Ryes,Rno,Rnv,Sen_Pres,Renomination,Notes
"Abbot, Charles S.",DEUCOM,DoD,USN,1998,4/20/98,5/22/98,32,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Abizaid, John P.",CENTCOM,DoD,USA,2003,6/18/03,6/27/03,9,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Abrams, John N.",TRADOC,USA,USA,1998,7/7/98,7/30/98,23,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Abrams, Robert B.",FORSCOM,USA,USA,2015,6/4/15,6/23/15,19,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Alexander, Keith B.",CYBER,DoD,USA,2010,10/20/09,5/7/10,199,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Allen, John R.",USFORA,DoD,USMC,2011,6/8/11,6/30/11,22,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Allyn, Daniel B.",FORSCOM,USA,USA,2013,4/9/13,4/18/13,9,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Allyn, Daniel B.",VCSA,USA,USA,2014,7/7/14,7/23/14,16,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Amos, James F.",ACMC,USMC,USMC,2008,2/11/08,3/13/08,31,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Amos, James F.",CMC,USMC,USMC,2010,7/21/10,9/29/10,70,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Arthur, Stanley R.",PACOM,DoD,USN,1994,4/21/94,7/1/94,71,103,"Clinton, Bill",Democrat,Democrat,Withdrawn,Withdrawn,,,,,,,1,,
"Arthur, Stanley R.",VCNO,USN,USN,1992,4/28/92,7/2/92,65,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Ashy, Joseph W.",SPACE,DoD,USAF,1994,6/9/94,7/15/94,36,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Austin, Lloyd J., III",CENTCOM,DoD,USA,2013,1/23/13,3/5/13,41,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Austin, Lloyd J., III",USFI,DoD,USA,2010,5/18/10,6/30/10,43,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Austin, Lloyd J., III",VCSA,USA,USA,2011,10/5/11,11/10/11,36,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Babbitt, George T., Jr.",AFMC,USAF,USAF,1997,2/26/97,5/21/97,84,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Begert, William J.",PACAF,USAF,USAF,2001,4/6/01,5/1/01,25,107,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
