Year,Confidence,Percentage,,
2016,A great deal,41%,,
2016,Quite a lot,32%,,
2016,Some,19%,,
2016,Very little,7%,,
2015,A great deal,42%,,
2015,Quite a lot,30%,,
2015,Some,19%,,
2015,Very little,6%,,
2014,A great deal,39%,,
2014,Quite a lot,35%,,
2014,Some,20%,,
2014,Very little,6%,,
2013,A great deal,43%,,
2013,Quite a lot,33%,,
2013,Some,17%,,
2013,Very little,6%,,
2012,A great deal,43%,,
2012,Quite a lot,32%,,
2012,Some,18%,,
2012,Very little,5%,,
2011,A great deal,47%,,
2011,Quite a lot,31%,,
2011,Some,16%,,
2011,Very little,3%,,
2010,A great deal,44%,,
2010,Quite a lot,32%,,
2010,Some,18%,,
2010,Very little,4%,,
2009,A great deal,45%,,
2009,Quite a lot,37%,,
2009,Some,12%,,
2009,Very little,5%,,
2008,A great deal,45%,,
2008,Quite a lot,26%,,
2008,Some,20%,,
2008,Very little,7%,,
2007,A great deal,39%,,
2007,Quite a lot,30%,,
2007,Some,21%,,
2007,Very little,8%,,
2006,A great deal,41%,,
2006,Quite a lot,32%,,
2006,Some,19%,,
2006,Very little,5%,,
2005,A great deal,42%,,
2005,Quite a lot,32%,,
2005,Some,18%,,
2005,Very little,7%,,
2004,A great deal,36%,,
2004,Quite a lot,39%,,
2004,Some,19%,,
2004,Very little,5%,,
2003,A great deal,48%,,
2003,Quite a lot,34%,,
2003,Some,14%,,
2003,Very little,4%,,
2002,A great deal,42%,,
2002,Quite a lot,36%,,
2002,Some,16%,,
2002,Very little,4%,,
2001,A great deal,32%,,
2001,Quite a lot,34%,,
2001,Some,24%,,
2001,Very little,6%,,
2000,A great deal,24%,,
2000,Quite a lot,39%,,
2000,Some,26%,,
2000,Very little,7%,,
1999,A great deal,34%,,
1999,Quite a lot,34%,,
1999,Some,25%,,
1999,Very little,6%,,
1998,A great deal,33%,,
1998,Quite a lot,31%,,
1998,Some,25%,,
1998,Very little,9%,,
1997,A great deal,30%,,
1997,Quite a lot,30%,,
1997,Some,27%,,
1997,Very little,10%,,
1996,A great deal,30%,,
1996,Quite a lot,36%,,
1996,Some,25%,,
1996,Very little,7%,,
1995,A great deal,33%,,
1995,Quite a lot,31%,,
1995,Some,27%,,
1995,Very little,7%,,
1994,A great deal,30%,,
1994,Quite a lot,33%,,
1994,Some,26%,,
1994,Very little,8%,,
1993,A great deal,32%,,
1993,Quite a lot,35%,,
1993,Some,22%,,
1993,Very little,8%,,
1991,A great deal,44%,,
1991,Quite a lot,34%,,
1991,Some,15%,,
1991,Very little,5%,,
