congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
109,President,99910,99,0,USA,200,0,0,"BUSH, George Walker",,1946,,0.693,-0.539,-34.04608,0.81,162,13,,,
109,House,20300,41,1,AL,200,0,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-128.58366,0.863,875,43,,0.382,0.239
109,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.379,0.377,-132.15506,0.85832,865,48,,0.345,0.351
109,House,20302,41,7,AL,100,0,1,"DAVIS, Artur",D000602,1967,,-0.27,0.454,-180.78533,0.815,885,80,,-0.254,0.342
109,House,29100,41,5,AL,100,0,1,"CRAMER, Robert E. (Bud), Jr.",C000868,1947,,-0.132,0.612,-216.72551,0.779,869,102,,-0.1,0.581
109,House,29300,41,2,AL,200,0,1,"EVERETT, Robert Terry",E000268,1937,2024.0,0.414,0.528,-151.6354,0.839,864,64,,0.463,0.131
109,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-127.94195,0.862,860,50,,0.437,0.163
109,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.405,0.467,-133.94974,0.86056,892,56,,0.384,0.243
109,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-219.13081,0.76772,829,87,,0.367,-0.047
109,House,15105,61,8,AZ,200,0,1,"KOLBE, James Thomas",K000306,1942,2022.0,0.351,-0.534,-273.67698,0.725,850,119,,0.411,-0.463
109,House,20100,61,6,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-277.76182,0.7229,856,119,,0.935,-0.354
109,House,20303,61,1,AZ,200,0,1,"RENZI, Rick",R000574,1958,,0.265,0.199,-182.52464,0.815,890,84,,0.273,0.202
109,House,20304,61,2,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-129.38582,0.86283,877,54,,0.825,0.009
109,House,20305,61,7,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,2025.0,-0.598,-0.264,-120.53413,0.87227,882,36,,-0.604,-0.269
109,House,29101,61,4,AZ,100,0,1,"PASTOR, Ed",P000099,1943,2018.0,-0.421,0.12,-239.36955,0.764,888,109,,-0.485,0.053
109,House,29501,61,3,AZ,200,0,1,"SHADEGG, John B.",S000275,1949,,0.749,0.008,-154.44229,0.837,866,64,,0.789,-0.17
109,House,29502,61,5,AZ,200,0,1,"HAYWORTH, John D., Jr.",H000413,1958,,0.559,-0.018,-195.37937,0.802,885,88,,0.599,-0.207
109,House,20101,42,3,AR,200,0,1,"BOOZMAN, John",B001236,1950,,0.426,0.34,-115.00192,0.87644,872,46,,0.354,0.291
109,House,20102,42,4,AR,100,0,1,"ROSS, Michael Avery",R000573,1961,,-0.201,0.89,-181.75219,0.809,856,78,,-0.273,0.779
109,House,29702,42,1,AR,100,0,1,"BERRY, Robert Marion",B000420,1942,2023.0,-0.293,0.956,-231.08825,0.771,890,99,,-0.315,0.949
109,House,29703,42,2,AR,100,0,1,"SNYDER, Victor F.",S000672,1947,,-0.268,0.055,-194.88794,0.794,845,91,,-0.256,0.058
109,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,2020.0,-0.631,-0.605,-114.73531,0.871,830,35,,-0.753,-0.658
109,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-113.51795,0.878,872,53,,-0.56,-0.399
