"---","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
NA,102,"House",10717,41,2,"AL",200,0,1,"DICKINSON, William Louis","D000326",1925,2008,0.398,-0.057,-256.97879,0.688,688,109,NA,0.346,-0.2
NA,102,"House",11000,41,4,"AL",100,0,1,"BEVILL, Tom","B000431",1921,2005,-0.213,0.976,-146.37956,0.822,745,52,NA,-0.228,0.87
NA,102,"House",15022,41,6,"AL",100,0,1,"ERDREICH, Ben","E000201",1938,NA,-0.06,0.372,-247.95622,0.725,771,119,NA,-0.05,0.235
NA,102,"House",15090,41,1,"AL",200,0,1,"CALLAHAN, Herbert Leon (Sonny)","C000052",1932,2021,0.373,0.202,-207.97756,0.75,722,101,NA,0.397,0.264
NA,102,"House",15416,41,7,"AL",100,0,1,"HARRIS, Claude, Jr.","H000236",1940,1994,-0.085,0.593,-195.26143,0.776,768,83,NA,-0.106,0.563
NA,102,"House",15632,41,3,"AL",100,0,1,"BROWDER, John Glen","B000897",1943,NA,-0.165,0.826,-167.43975,0.803,764,63,NA,-0.157,0.691
NA,102,"House",29100,41,5,"AL",100,0,1,"CRAMER, Robert E. (Bud), Jr.","C000868",1947,NA,-0.132,0.612,-184.16079,0.788,774,74,NA,-0.135,0.547
NA,102,"House",14066,81,1,"AK",200,0,1,"YOUNG, Donald Edwin","Y000033",1933,2022,0.283,0.022,-338.71001,0.62392,718,167,NA,0.252,-0.214
NA,102,"House",10566,61,2,"AZ",100,0,1,"UDALL, Morris King","U000001",1922,1998,-0.387,0.008,NA,NA,NA,NA,NA,-0.724,0.69
NA,102,"House",14454,61,3,"AZ",200,0,1,"STUMP, Robert Lee","S001044",1927,2003,0.703,0.203,-119.30778,0.858,779,46,NA,0.8,0.109
NA,102,"House",15105,61,5,"AZ",200,0,1,"KOLBE, James Thomas","K000306",1942,2022,0.351,-0.534,-278.88688,0.695,766,132,NA,0.328,-0.516
