congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,party,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,sasc
102,Senate,14282,62,0,CO,100,D,0,1,"WIRTH, Timothy E.",W000647,1939,,-0.293,-0.315,-149.58376,0.738,492,81,,-0.334,-0.176,1
102,Senate,10700,73,0,WA,100,D,0,0,"ADAMS, Brockman (Brock)",A000031,1927,2004,-0.396,-0.127,-90.70608,0.827,478,42,,-0.484,-0.046,0
102,Senate,14400,82,0,HI,100,D,0,0,"AKAKA, Daniel Kahikina",A000069,1924,2018,-0.419,0.273,-123.30393,0.773,478,58,,-0.337,-0.036,0
102,Senate,14203,64,0,MT,100,D,0,0,"BAUCUS, Max Sieben",B000243,1941,,-0.212,0.017,-162.7414,0.712,480,76,,-0.305,0.287,0
102,Senate,660,49,0,TX,100,D,0,0,"BENTSEN, Lloyd Millard, Jr.",B000401,1921,2006,-0.163,0.458,-152.30449,0.717,458,66,,-0.217,0.483,0
102,Senate,14101,11,0,DE,100,D,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,-130.37952,0.755,464,49,,-0.371,-0.157,0
102,Senate,14912,66,0,NM,100,D,0,0,"BINGAMAN, Jesse Francis, Jr. (Jeff)",B000468,1943,,-0.266,0.045,-180.11753,0.677,462,89,,-0.3,0.257,1
102,Senate,15501,34,0,MO,200,R,0,0,"BOND, Christopher Samuel (Kit)",B000611,1939,,0.31,-0.169,-154.844,0.71,452,70,,0.295,-0.388,0
102,Senate,14700,53,0,OK,100,D,0,0,"BOREN, David Lyle",B000639,1941,,-0.142,0.771,-180.52621,0.671,453,81,,-0.152,0.561,0
102,Senate,14702,12,0,NJ,100,D,0,0,"BRADLEY, William Warren (Bill)",B001225,1943,,-0.313,-0.568,-128.38973,0.752,451,63,,-0.371,-0.444,0
102,Senate,13056,45,0,LA,100,D,0,0,"BREAUX, John Berlinger",B000780,1944,,-0.123,0.702,-159.03369,0.709,463,70,,-0.157,0.623,0
