years,congress,sen_tot,sen_dem,sen_rep,sen_ind,sen_vac,hr_tot,hr_dem,hr_rep,hr_ind,hr_vac
1991-1993,102,100,56,44,,,435,267,167,1,
1993-1995,103,100,57,43,,,435,258,176,1,
1995-1997,104,100,48,52,,,435,204,230,1,
1997-1999,105,100,45,55,,,435,207,226,2,
1999-2001,106,100,45,55,,,435,211,223,1,
2001-2003,107,100,50,50,,,435,212,221,2,
2003-2005,108,100,48,51,1,,435,204,229,1,1
2005-2007,109,100,44,55,1,,435,202,232,1,
2007-2009,110,100,49,49,2,,435,233,202,,
2009-2011,111,100,55,41,2,2,435,256,178,,1
2011-2013,112,100,51,47,2,,435,193,242,,
2013-2015,113,100,53,45,2,,435,200,234,,1
2015-2017,114,100,44,54,2,,435,188,247,,
2017-2019,115,100,46,52,2,,435,194,241,,
