year,confidence,percentage
2016-01-20,High,0.73
2016-01-20,Low,0.26
2015-01-20,High,0.72
2015-01-20,Low,0.26
2014-01-20,High,0.74
2014-01-20,Low,0.27
2013-01-20,High,0.76
2013-01-20,Low,0.23
2012-01-20,High,0.75
2012-01-20,Low,0.24
2011-01-20,High,0.78
2011-01-20,Low,0.19
2010-01-20,High,0.76
2010-01-20,Low,0.23
2009-01-20,High,0.82
2009-01-20,Low,0.17
2008-01-20,High,0.71
2008-01-20,Low,0.28
2007-01-20,High,0.69
2007-01-20,Low,0.30
2006-01-20,High,0.73
2006-01-20,Low,0.25
2005-01-20,High,0.74
2005-01-20,Low,0.26
2004-01-20,High,0.75
2004-01-20,Low,0.24
2003-01-20,High,0.82
2003-01-20,Low,0.18
2002-01-20,High,0.78
2002-01-20,Low,0.20
2001-01-20,High,0.66
2001-01-20,Low,0.33
2000-01-20,High,0.63
2000-01-20,Low,0.34
1999-01-20,High,0.68
1999-01-20,Low,0.31
1998-01-20,High,0.64
1998-01-20,Low,0.35
1997-01-20,High,0.60
1997-01-20,Low,0.39
1996-01-20,High,0.66
1996-01-20,Low,0.32
1995-01-20,High,0.64
1995-01-20,Low,0.35
1994-01-20,High,0.63
1994-01-20,Low,0.35
1993-01-20,High,0.67
1993-01-20,Low,0.31
1991-01-20,High,0.78
1991-01-20,Low,0.20
