Time,A great deal,Quite a lot,Some,Very little,None (volunteered),(DK),(Refused),N Size
2016,41%,32%,19%,7%,0%,1%,0%,"1,027"
2015,42%,30%,19%,6%,1%,1%,0%,"1,527"
2014,39%,35%,20%,6%,1%,0%,0%,"1,027"
2013,43%,33%,17%,6%,0%,0%,0%,"1,529"
2012,43%,32%,18%,5%,1%,1%,0%,"1,004"
2011,47%,31%,16%,3%,0%,1%,0%,"1,020"
2010,44%,32%,18%,4%,1%,1%,1%,"1,020"
2009,45%,37%,12%,5%,0%,1%,0%,"1,011"
2008,45%,26%,20%,7%,1%,1%,1%,822
2007,39%,30%,21%,8%,1%,0%,0%,"1,007"
2006,41%,32%,19%,5%,1%,1%,0%,"1,002"
2005,42%,32%,18%,7%,1%,0%,0%,"1,004"
2004,36%,39%,19%,5%,0%,0%,0%,"1,002"
2003,48%,34%,14%,4%,0%,0%,,"1,029"
2002,42%,36%,16%,4%,0%,0%,0%,"1,020"
2001,32%,34%,24%,6%,3%,2%,,"1,011"
2000,24%,39%,26%,7%,1%,2%,,"1,021"
1999,34%,34%,25%,6%,0%,0%,,"1,016"
1998,33%,31%,25%,9%,1%,2%,,"1,003"
1997,30%,30%,27%,10%,2%,2%,,"1,004"
1996,30%,36%,25%,7%,0%,2%,,"1,019"
1995,33%,31%,27%,7%,1%,1%,,"1,008"
1994,30%,33%,26%,8%,1%,2%,,"1,036"
1993,32%,35%,22%,8%,1%,1%,,"1,003"
1991,44%,34%,15%,5%,0%,2%,,"2,012"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
