chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,ascr,ascd
House,102,1991,0.658865795,0.315192744,0.337037037,0.282352941,0.05,-0.060684807,-0.039750567,-0.314148148,0.080751852,0.344717647,-0.228852941,0.355238095,-0.238363636
House,103,1993,0.704778244,0.275395034,0.309160305,0.227777778,0.024886878,-0.047936795,-0.033367946,-0.333828244,0.069625954,0.37095,-0.181088889,0.350608696,-0.24371875
House,104,1995,0.757867829,0.197752809,0.211538462,0.186440678,0.018018018,0.040235955,-0.03418427,-0.361278846,0.062302885,0.396588983,-0.117555085,0.4124,-0.266125
House,105,1997,0.777125643,0.155405405,0.155660377,0.155844156,0.018058691,0.028355856,-0.021898649,-0.375580189,0.036377358,0.401545455,-0.073623377,0.42015625,-0.304357143
House,106,1999,0.77682554,0.156818182,0.159624413,0.155555556,0.015981735,0.026211364,-0.007211364,-0.372812207,0.044619718,0.404013333,-0.056844444,0.4161875,-0.300814815
House,107,2001,0.786365511,0.146396396,0.14953271,0.144736842,0.009049774,0.028855856,0.005547297,-0.376738318,0.040228972,0.409627193,-0.027451754,0.431666667,-0.308821429
House,108,2003,0.792948427,0.134090909,0.144230769,0.125541126,0,0.039695455,0.017252273,-0.376221154,0.048100962,0.416727273,-0.008597403,0.423060606,-0.278214286
House,109,2005,0.809920679,0.125284738,0.128078818,0.123404255,0,0.046031891,0.013669704,-0.387167488,0.031364532,0.422753191,2.64E-04,0.421090909,-0.310074074
House,110,2007,0.807832275,0.138084633,0.172839506,0.097087379,0,0.002265033,0.038278396,-0.368366255,0.044061728,0.439466019,0.031456311,0.434774194,-0.293142857
House,111,2009,0.805188122,0.165178571,0.230188679,0.071038251,0,-0.020004464,0.036569196,-0.348909434,0.037966038,0.456278689,0.034546448,0.449925926,-0.253536585
House,112,2011,0.860634796,0.087640449,0.115,0.065306122,0,0.08048764,0.00714382,-0.393345,-0.03251,0.467289796,0.039514286,0.449314286,-0.31737931
House,113,2013,0.866165196,0.087837838,0.117647059,0.0625,0,0.083790541,-0.004236486,-0.384406863,-0.069485294,0.481758333,0.051225,0.468735294,-0.315964286
House,114,2015,0.874600147,0.079365079,0.089473684,0.071713147,0,0.103204082,-0.006292517,-0.394584211,-0.076784211,0.480015936,0.047067729,0.461055556,-0.323
Senate,102,1991,0.618967868,0.294117647,0.293103448,0.295454545,0,-0.032166667,-0.071588235,-0.299172414,0.106017241,0.319795455,-0.305704545,0.395888889,-0.256181818
Senate,103,1993,0.63394269,0.274509804,0.280701754,0.266666667,0,-0.016617647,-0.076362745,-0.296298246,0.074140351,0.337644444,-0.267,0.411,-0.2415
Senate,104,1995,0.652820076,0.233009709,0.25,0.218181818,0,0.046864078,-0.119815534,-0.301729167,0.0081875,0.351090909,-0.231527273,0.393333333,-0.268
Senate,105,1997,0.684145455,0.18,0.2,0.163636364,0,0.06588,-0.11964,-0.3104,-0.049666667,0.373745455,-0.176890909,0.417384615,-0.2865
Senate,106,1999,0.658588509,0.215686275,0.260869565,0.178571429,0.068627451,0.066882353,-0.148117647,-0.294695652,-0.063086957,0.363892857,-0.217964286,0.417363636,-0.289222222
Senate,107,2001,0.66354,0.217821782,0.26,0.18,0.06,0.033960396,-0.122821782,-0.2947,-0.04166,0.36884,-0.19438,0.4285,-0.286583333
Senate,108,2003,0.649485294,0.22,0.25,0.196078431,0.050505051,0.03947,-0.12181,-0.291916667,-0.041041667,0.357568627,-0.188392157,0.411,-0.2415
Senate,109,2005,0.685664646,0.188118812,0.222222222,0.163636364,0,0.065930693,-0.139336634,-0.307755556,-0.098866667,0.377909091,-0.164018182,0.400384615,-0.300181818
Senate,110,2007,0.686669804,0.205882353,0.26,0.156862745,0,0.045735294,-0.116519608,-0.29516,-0.08468,0.391509804,-0.141627451,0.395214286,-0.260923077
Senate,111,2009,0.705363636,0.234234234,0.303030303,0.136363636,0,-0.031198198,-0.092738739,-0.308681818,-0.070257576,0.396681818,-0.118840909,0.374923077,-0.2282
Senate,112,2011,0.744441038,0.205882353,0.320754717,0.083333333,0,0.047372549,-0.079539216,-0.300566038,-0.069132075,0.443875,-0.083770833,0.382,-0.263214286
Senate,113,2013,0.79625553,0.2,0.298245614,0.065217391,0,0.021895238,-0.065409524,-0.326385965,-0.079824561,0.469869565,-0.037021739,0.502166667,-0.276071429
Senate,114,2015,0.810142256,0.15,0.272727273,0.037037037,0,0.10347,-0.08743,-0.333568182,-0.128295455,0.476574074,-0.045981481,0.503642857,-0.27075
